iter	RMSE
354	1802.036076
355	1800.921629
356	1799.840527
357	1796.961542
358	1795.528617
359	1794.347638
360	1791.851553
361	1789.131209
362	1787.14288
363	1785.705185
364	1784.783911
365	1783.754065
366	1781.263076
367	1780.024545
368	1778.255618
369	1776.460333
370	1774.833756
371	1773.695808
372	1772.015232
373	1771.389214
374	1770.087126
375	1768.077404
376	1765.762087
377	1763.584258
378	1761.371588
379	1758.805574
380	1756.31183
381	1755.295633
382	1753.999388
383	1752.903185
384	1751.961512
385	1750.829882
386	1748.944495
387	1747.038591
388	1744.253045
389	1742.913935
390	1741.281398
391	1739.651956
392	1738.771548
393	1736.604162
394	1735.68958
395	1734.815488
396	1732.670498
397	1730.515489
398	1728.726812
399	1726.550622
400	1725.610159
401	1723.00214
402	1721.941865
403	1720.46758
404	1719.252882
405	1716.942612
406	1716.003649
407	1714.020289
408	1713.327174
409	1711.758164
410	1709.767233
411	1708.450995
412	1706.761027
413	1704.451941
414	1702.387421
415	1700.908715
416	1698.527695
417	1696.929834
418	1695.657182
419	1694.462254
420	1693.05324
421	1690.646132
422	1688.858626
423	1687.830597
424	1686.65031
425	1684.408109
426	1683.361473
427	1682.107734
428	1680.720102
429	1679.504441
430	1677.928417
431	1675.765219
432	1673.801749
433	1672.681278
434	1672.035612
435	1670.004734
436	1667.647651
437	1667.014153
438	1664.615648
439	1663.464057
440	1661.422042
441	1660.059537
442	1656.965767
443	1654.983761
444	1653.64914
445	1651.04044
446	1649.822965
447	1648.318106
448	1646.469376
449	1644.561275
450	1642.01105
451	1641.139534
452	1639.160367
453	1637.383774
454	1635.295265
455	1632.935564
456	1630.342962
457	1628.328204
458	1627.266272
459	1626.064401
460	1624.579423
461	1623.66514
462	1621.989272
463	1621.124527
464	1618.266483
465	1616.005407
466	1614.770181
467	1613.167601
468	1611.745873
469	1610.222076
470	1607.800169
471	1607.29675
472	1605.697512
473	1604.008915
474	1602.38075
475	1600.617983
476	1599.328714
477	1597.966647
478	1596.155929
479	1594.778206
480	1592.150071
481	1590.592112
482	1589.055157
483	1587.394494
484	1585.671089
485	1583.282663
486	1581.175874
487	1577.868559
488	1576.011385
489	1574.127152
490	1573.096431
491	1572.177393
492	1570.046581
493	1569.019707
494	1567.885818
495	1566.141528
496	1564.165315
497	1561.980663
498	1561.190815
499	1560.093729
500	1558.987368
501	1557.574877
502	1555.966079
503	1553.60637
504	1552.189683
505	1550.551145
506	1548.633324
507	1547.098711
508	1545.770045
509	1543.768327
510	1542.023334
511	1540.810972
512	1538.514126
513	1537.157089
514	1536.332448
515	1534.503436
516	1533.91893
517	1533.249599
518	1531.443226
519	1529.935718
520	1528.058134
521	1526.380403
522	1524.704176
523	1523.475472
524	1522.03694
525	1521.53875
526	1520.921309
527	1519.981358
528	1518.448365
529	1516.765861
530	1515.822204
531	1514.489317
532	1513.010033
533	1510.756205
534	1509.869062
535	1508.424718
536	1506.436371
537	1505.996452
538	1503.759672
539	1502.078854
540	1501.193943
541	1499.940109
542	1498.275125
543	1497.582625
544	1497.043417
545	1496.584868
546	1495.456338
547	1493.786566
548	1491.495132
549	1490.236917
550	1488.862129
551	1487.599597
552	1486.67476
553	1486.073965
554	1484.574564
555	1483.642433
556	1482.351923
557	1480.831781
558	1479.711354
559	1478.648264
560	1477.22704
561	1475.602432
562	1474.26685
563	1472.958352
564	1470.968349
565	1470.111155
566	1469.370989
567	1468.570109
568	1467.580453
569	1466.076046
570	1465.285984
571	1461.920819
572	1459.657852
573	1458.014444
574	1456.344998
575	1454.331777
576	1451.979986
577	1450.547964
578	1448.772529
579	1447.37709
580	1446.188784
581	1444.605452
582	1442.94898
583	1441.848423
584	1440.604706
585	1438.24096
586	1437.805387
587	1436.534664
588	1435.686351
589	1434.972268
590	1433.622818
591	1432.397824
592	1431.961553
593	1429.946582
594	1429.147352
595	1427.316841
596	1426.579012
597	1425.433089
598	1423.555109
599	1421.917768
600	1420.788885
601	1418.962883
602	1417.749632
603	1416.930527
604	1415.491126
605	1414.35884
606	1413.162239
607	1411.395977
608	1410.749784
609	1410.096956
610	1408.856053
611	1408.079306
612	1406.706805
613	1404.627062
614	1403.584219
615	1401.61363
616	1400.420013
617	1399.293961
618	1397.923258
619	1396.874907
620	1395.072015
621	1394.326496
622	1392.664648
623	1392.146896
624	1390.470435
625	1389.568423
626	1388.095611
627	1387.023634
628	1385.110775
629	1383.410765
630	1381.76452
631	1380.849366
632	1379.77446
633	1378.376678
634	1377.741097
635	1377.148653
636	1376.102219
637	1374.999025
638	1373.404907
639	1372.257638
640	1371.280672
641	1370.14939
642	1368.997975
643	1367.845226
644	1366.929612
645	1365.000803
646	1364.133705
647	1363.472495
648	1361.968092
649	1360.220454
650	1359.560182
651	1358.374049
652	1357.164024
653	1355.598677
654	1354.600303
655	1354.011133
656	1353.451222
657	1352.30143
658	1350.407493
659	1349.036049
660	1347.722118
661	1346.947316
662	1346.339367
663	1345.411415
664	1343.670126
665	1343.266433
666	1340.738764
667	1339.397703
668	1338.698006
669	1337.430542
670	1335.673203
671	1333.604939
672	1332.327936
673	1331.457887
674	1330.278416
675	1328.610895
676	1327.219422
677	1326.114023
678	1325.127368
679	1323.698322
680	1321.887966
681	1320.519455
682	1319.495491
683	1318.269171
684	1316.640729
685	1315.348285
686	1314.101203
687	1313.669434
688	1312.624561
689	1311.618339
690	1310.121755
691	1308.486246
692	1307.660226
693	1306.016145
694	1304.753215
695	1303.996009
696	1302.294081
697	1301.554007
698	1300.950858
699	1300.202865
700	1298.836701
701	1297.672107
702	1296.686414
703	1295.379164
704	1293.353422
705	1292.261577
706	1291.470733
707	1289.874459
708	1288.337999
709	1287.438979
710	1285.986041
711	1285.0336
712	1283.660405
713	1282.187594
714	1281.283107
715	1280.041699
716	1279.557901
717	1277.971286
718	1277.054775
719	1276.232271
720	1275.201109
721	1273.914741
722	1273.640737
723	1272.946195
724	1272.0036
725	1270.910298
726	1269.160653
727	1268.063913
728	1267.177882
729	1266.546655
730	1264.067658
731	1263.328692
732	1261.409128
733	1259.239062
734	1258.367173
735	1257.830139
736	1257.019136
737	1255.661622
738	1254.837773
739	1253.695844
740	1252.368389
741	1251.430565
742	1250.350485
743	1249.824926
744	1249.170446
745	1248.785821
746	1247.297526
747	1246.98213
748	1246.087875
749	1244.956059
750	1243.81072
751	1243.06135
752	1241.891165
753	1241.076402
754	1240.079148
755	1239.40214
756	1238.899494
757	1238.425878
758	1237.588743
759	1236.563409
760	1235.597225
761	1233.777879
762	1232.758959
763	1231.3543
764	1230.607371
765	1228.582056
766	1227.69484
767	1226.750204
768	1225.596682
769	1225.289119
770	1224.537196
771	1223.613117
772	1222.774651
773	1222.514508
774	1221.863364
775	1221.01314
776	1219.358079
777	1217.262121
778	1216.469392
779	1215.294839
780	1214.100419
781	1213.197773
782	1212.947305
783	1212.342055
784	1211.243365
785	1210.420856
786	1209.666449
787	1208.677293
788	1208.011098
789	1207.833362
790	1206.260185
791	1205.343111
792	1204.719863
793	1203.029364
794	1202.340987
795	1201.414743
796	1200.724326
797	1199.887298
798	1198.302077
799	1196.380897
800	1195.370159
801	1195.137271
802	1194.378108
803	1193.751133
804	1193.063625
805	1192.680953
806	1191.957958
807	1191.354252
808	1190.382511
809	1189.070704
810	1188.567372
811	1187.85578
812	1187.633235
813	1186.736325
814	1186.191863
815	1185.337813
816	1183.457702
817	1182.885736
818	1180.764523
819	1180.470734
820	1179.491628
821	1178.526123
822	1177.703564
823	1176.891092
824	1175.725406
825	1175.287158
826	1174.595521
827	1173.636157
828	1172.66282
829	1171.842393
830	1169.844162
831	1169.029106
832	1167.769673
833	1167.051127
834	1166.27532
835	1165.537738
836	1164.508988
837	1163.98405
838	1162.844068
839	1161.456169
840	1161.029263
841	1160.293757
842	1158.137616
843	1157.293345
844	1155.991085
845	1155.757474
846	1154.942443
847	1153.896898
848	1152.813261
849	1152.328909
850	1151.723299
851	1150.551959
852	1150.173685
853	1148.497188
854	1147.41704
855	1146.260746
856	1145.406499
857	1144.40662
858	1143.085106
859	1142.244558
860	1140.914591
861	1139.608494
862	1138.574537
863	1137.817941
864	1136.825373
865	1135.696444
866	1135.185436
867	1133.560784
868	1132.774069
869	1130.973689
870	1130.259319
871	1129.169637
872	1127.941013
873	1127.042868
874	1125.610216
875	1124.827993
876	1122.846559
877	1121.215287
878	1121.030626
879	1120.148196
880	1119.316112
881	1117.933165
882	1117.003329
883	1116.463488
884	1115.092214
885	1114.507901
886	1112.786792
887	1111.840697
888	1110.978163
889	1110.332606
890	1108.64704
891	1107.866538
892	1106.572292
893	1105.980005
894	1105.40521
895	1104.617922
896	1103.466786
897	1103.108674
898	1101.729672
899	1100.459405
900	1099.106022
901	1098.422758
902	1098.018829
903	1096.984676
904	1096.034296
905	1095.319195
906	1094.760902
907	1093.510504
908	1092.968679
909	1092.684036
910	1091.795341
911	1091.006027
912	1090.454879
913	1090.008657
914	1089.411638
915	1088.843736
916	1088.297286
917	1086.311472
918	1085.849437
919	1085.002188
920	1084.11433
921	1083.405721
922	1083.102511
923	1082.076968
924	1081.377417
925	1080.732671
926	1079.306809
927	1078.438591
928	1078.038033
929	1075.68004
930	1074.299981
931	1072.859327
932	1072.406917
933	1071.493301
934	1070.337617
935	1068.534182
936	1067.685034
937	1067.00823
938	1065.861202
939	1065.132017
940	1064.214748
941	1062.911398
942	1062.375728
943	1061.249248
944	1060.102482
945	1059.365307
946	1059.018811
947	1057.620535
948	1056.696699
949	1055.835026
950	1055.046183
951	1053.714568
952	1052.63194
953	1051.934334
954	1051.27459
955	1049.346623
956	1048.612204
957	1047.533356
958	1046.710495
959	1045.773795
960	1045.065623
961	1044.508843
962	1043.738088
963	1042.587928
964	1041.222715
965	1040.27635
966	1039.415928
967	1038.650296
968	1036.978573
969	1036.238078
970	1035.910054
971	1034.991558
972	1034.359485
973	1033.821055
974	1032.321211
975	1031.778153
976	1030.856388
977	1029.810338
978	1027.785237
979	1027.088545
980	1026.502159
981	1026.121236
982	1024.90242
983	1023.970242
984	1022.720716
985	1022.202818
986	1021.755511
987	1020.585048
988	1019.901674
989	1019.090074
990	1018.740159
991	1017.662749
992	1017.072698
993	1016.412739
994	1015.741183
995	1015.237324
996	1014.468135
997	1013.781552
998	1013.304101
999	1012.476599
